x/c, Cp
4.269854130352103150e-01,-1.327951252460479736e-02
4.272834276519051344e-01,-1.329897530376911163e-02
4.276939771661337208e-01,-1.332920696586370468e-02
4.284072818563080531e-01,-1.341340877115726471e-02
4.291197750994033555e-01,-1.342200301587581635e-02
4.298215486995078383e-01,-1.342083886265754700e-02
4.300726275088441186e-01,-1.342824567109346390e-02
4.304930852189846058e-01,-1.345622818917036057e-02
4.311310107462947294e-01,-1.343508437275886536e-02
4.317949025801325891e-01,-1.350521389394998550e-02
4.324427790110956238e-01,-1.357082929462194443e-02
4.324885617094471613e-01,-1.357724424451589584e-02
4.331908905101846119e-01,-1.360793691128492355e-02
4.338900162303470642e-01,-1.372484583407640457e-02
4.345858961621936190e-01,-1.371903158724308014e-02
4.352748147322572092e-01,-1.374335773289203644e-02
4.356978349068576506e-01,-1.378438994288444519e-02
4.359425929705260105e-01,-1.381956320255994797e-02
4.366154534299737655e-01,-1.393293868750333786e-02
4.372910044771045057e-01,-1.391536183655261993e-02
4.372994179020814332e-01,-1.391587872058153152e-02
4.380127225922557654e-01,-1.404999848455190659e-02
4.387230804483011060e-01,-1.409938279539346695e-02
4.394001689741078298e-01,-1.414712890982627869e-02
4.396048244689776396e-01,-1.424155849963426590e-02
4.399341438598250997e-01,-1.434517093002796173e-02
4.404235745716798545e-01,-1.410295255482196808e-02
4.411483676441830815e-01,-1.398820895701646805e-02
4.417819369819112607e-01,-1.449303142726421356e-02
4.423927003859456919e-01,-1.431631110608577728e-02
4.430504850128206273e-01,-1.436636410653591156e-02
4.433657962646201933e-01,-1.429528277367353439e-02
4.438063693207714988e-01,-1.427778974175453186e-02
4.445336394422526594e-01,-1.433058176189661026e-02
4.451637921607008996e-01,-1.446006819605827332e-02
4.457021659437411243e-01,-1.432659663259983063e-02
4.458687688413803252e-01,-1.432265341281890869e-02
4.465793402361306619e-01,-1.451141200959682465e-02
4.473391963639944957e-01,-1.464572176337242126e-02
4.473647783008532497e-01,-1.464943774044513702e-02
4.481494903339787728e-01,-1.467013452202081680e-02
4.486945265246149450e-01,-1.470877137035131454e-02
4.489957869296257176e-01,-1.477774512022733688e-02
4.495890828675913053e-01,-1.483626570552587509e-02
4.502302541832174376e-01,-1.477900799363851547e-02
4.504290587175702743e-01,-1.477504614740610123e-02
4.512071083430999052e-01,-1.508153695613145828e-02
4.518495181832150043e-01,-1.492351107299327850e-02
4.519503511597149359e-01,-1.489912532269954681e-02
4.527937009212328889e-01,-1.493669860064983368e-02
4.528718987950030028e-01,-1.494675036519765854e-02
4.537499272422125807e-01,-1.493282336741685867e-02
4.538534508063954975e-01,-1.493260730057954788e-02
4.546298348300261138e-01,-1.491707935929298401e-02
4.550757890615433343e-01,-1.489985361695289612e-02
4.555001758838557735e-01,-1.488032191991806030e-02
4.563591993863205243e-01,-1.482617296278476715e-02
4.565108118668689263e-01,-1.483312901109457016e-02
4.572100230025133993e-01,-1.487892027944326401e-02
4.580500842679743334e-01,-1.498357672244310379e-02
4.583236700568174005e-01,-1.501272339373826981e-02
4.588833977103574102e-01,-1.508057676255702972e-02
4.597227756519624009e-01,-1.514250226318836212e-02
4.602384716245318530e-01,-1.518038008362054825e-02
4.605746242539391910e-01,-1.521804742515087128e-02
4.614389862240289020e-01,-1.531735062599182129e-02
4.616724267363324086e-01,-1.533718686550855637e-02
4.623144522067785256e-01,-1.539108157157897949e-02
4.628941670831062671e-01,-1.542344409972429276e-02
4.631973066287209950e-01,-1.544761657714843750e-02
4.640382647567429797e-01,-1.550310757011175156e-02
4.640832787157564976e-01,-1.550485845655202866e-02
4.649557978643771294e-01,-1.553326379507780075e-02
4.651945768443055407e-01,-1.554266363382339478e-02
4.658047423399659936e-01,-1.556318067014217377e-02
4.664403616492621696e-01,-1.559028401970863342e-02
4.666658585217397515e-01,-1.561160478740930557e-02
4.675100197303366789e-01,-1.570864394307136536e-02
4.676908443057287146e-01,-1.571688055992126465e-02
4.683161710494440078e-01,-1.579096168279647827e-02
4.690046625420976056e-01,-1.581644453108310699e-02
4.690974664632895919e-01,-1.578405871987342834e-02
4.698873034253350789e-01,-1.569473929703235626e-02
4.701757088003050145e-01,-1.567166857421398163e-02
4.706581781503768047e-01,-1.557026151567697525e-02
4.712833340631281120e-01,-1.576295867562294006e-02
4.718165829172483727e-01,-1.576263085007667542e-02
4.719993720487263844e-01,-1.577593758702278137e-02
4.727352264261484582e-01,-1.557421032339334488e-02
4.727448783756143524e-01,-1.557151693850755692e-02
4.734572434954867348e-01,-1.581718400120735168e-02
4.741363819928613998e-01,-1.594268158078193665e-02
4.743633309285330002e-01,-1.587395742535591125e-02
4.748480637888777833e-01,-1.571345143020153046e-02
4.756212874396744672e-01,-1.581141725182533264e-02
4.762796699749233809e-01,-1.595680229365825653e-02
4.764165055770859247e-01,-1.599917188286781311e-02
4.772522533607059247e-01,-1.595995761454105377e-02
4.777016242115030842e-01,-1.602125726640224457e-02
4.781646615394201105e-01,-1.600852608680725098e-02
4.787527044252428143e-01,-1.583726145327091217e-02
4.790997475286050689e-01,-1.598438248038291931e-02
4.795828574947918477e-01,-1.638810336589813232e-02
4.802580668799946162e-01,-1.610213704407215118e-02
4.804324852942367108e-01,-1.607801578938961029e-02
4.814537555047587736e-01,-1.618273742496967316e-02
4.814593502188296847e-01,-1.618506573140621185e-02
4.823311433358533074e-01,-1.634295284748077393e-02
4.824286878162962755e-01,-1.632995717227458954e-02
4.832101540611058454e-01,-1.619254797697067261e-02
4.833766715432630812e-01,-1.616769656538963318e-02
4.839624082110717818e-01,-1.618670299649238586e-02
4.844722105153833058e-01,-1.621521264314651489e-02
4.847746240294010245e-01,-1.613609865307807922e-02
4.855897866818593145e-01,-1.601988635957241058e-02
4.858898512701220751e-01,-1.622063852846622467e-02
4.865667262572238028e-01,-1.628801971673965454e-02
4.872621364039192993e-01,-1.650773361325263977e-02
4.877720241237128440e-01,-1.646554283797740936e-02
4.879715546896626899e-01,-1.645507849752902985e-02
4.885498602105374788e-01,-1.663241535425186157e-02
4.890651291056969385e-01,-1.690846681594848633e-02
4.892999362657123874e-01,-1.690866239368915558e-02
4.900655152308701634e-01,-1.684974506497383118e-02
4.901229571425145815e-01,-1.684984005987644196e-02
4.907814250932454603e-01,-1.684419251978397369e-02
4.915099337392156431e-01,-1.687056757509708405e-02
4.918247752058642619e-01,-1.679535768926143646e-02
4.922457027011557518e-01,-1.669117063283920288e-02
4.929792935683048327e-01,-1.669174991548061371e-02
4.937140802522019256e-01,-1.692606508731842041e-02
4.944612521809889083e-01,-1.672663539648056030e-02
4.952193999992127726e-01,-1.672603935003280640e-02
4.959833560702125443e-01,-1.708361692726612091e-02
4.966960201442718881e-01,-1.678055897355079651e-02
4.968506221666902367e-01,-1.669295690953731537e-02
4.969535051147581095e-01,-1.672939769923686981e-02
4.977347578208627388e-01,-1.698350347578525543e-02
